lemma,pos,freq
birth_control,VERB,1
birth_control_pill,VERB,1
birthday,VERB,1
bite-,PRON,1
bitter,ADJ,1
blackbird,VERB,1
crow,VERB,1
raven,VERB,1
blackboard,VERB,1
chalkboard,VERB,1
writing_board,VERB,1
bladder,VERB,1
blanket,VERB,1
duvet,VERB,1
quilt,VERB,1
bleed-,PRON,1
blind,ADJ,1
blissymbol,VERB,1
bliss-word,VERB,1
blissymbol_part,OTHER,1
blissymbolics_resource_centre,VERB,1
brick,VERB,1
blood,VERB,1
blueberry,VERB,1
bluebird,VERB,1
board_,VERB,1
boat,VERB,1
ship,VERB,1
bone,VERB,1
bonfire,VERB,1
barbeque,VERB,1
campfire,VERB,1
book,VERB,1
borrow-,PRON,1
supervisor_,PREP,1
both,NOUN,1
bottle,VERB,1
intestine_,VERB,1
bowel_movement,VERB,1
defecation,VERB,1
shitting,VERB,1
feces,VERB,1
poop,VERB,1
box,VERB,1
cube,VERB,1
boy,PREP,1
lad,PREP,1
bra,VERB,1
brassiere,VERB,1
medical_aid,VERB,1
bracha,VERB,1
berakah,VERB,1
prayer_,VERB,1
brahma,PREP,1
brain,VERB,1
branch,VERB,1
bread,VERB,1
loaf_of_bread,VERB,1
loaf,VERB,1
damage-,PRON,1
breakable,ADJ,1
fragile,ADJ,1
vulnerable,ADJ,1
breakfast,VERB,1
breast,VERB,1
breath,VERB,1
breathing,VERB,1
respiration,VERB,1
breathe-,PRON,1
bridge,VERB,1
overpass,VERB,1
bring-,PRON,1
broccoli,VERB,1
broil,PRON,1
barbecue,PRON,1
grill-,PRON,1
broken,ADJ,1
injured,ADJ,1
damaged,ADJ,1
broom,VERB,1
brother,PREP,1
brush,VERB,1
brush-,PRON,1
brush_teeth-,PRON,1
brussels_sprout,VERB,1
bubble,VERB,1
buffalo,VERB,1
bison,VERB,1
bull,VERB,1
bull_,VERB,1
burn-,PRON,1
burned,ADJ,1
burnt,ADJ,1
burning,ADJ,1
burp,PRON,1
belch-,PRON,1
bury_-,PRON,1
bus,VERB,1
bus_bay_,VERB,1
bus_driver,PREP,1
shrub,VERB,1
business,VERB,1
economy,VERB,1
commerce,VERB,1
trade,VERB,1
but,NOUN,1
except,NOUN,1
except_for_,NOUN,1
butter,VERB,1
butterfly,VERB,1
moth,VERB,1
buttocks,VERB,1
bum,VERB,1
ass,VERB,1
button,VERB,1
snap,VERB,1
buy,PRON,1
purchase-,PRON,1
by,NOUN,1
by_means_of,NOUN,1
cabbage,VERB,1
cabin,VERB,1
cottage,VERB,1
hut,VERB,1
caesarean_section,VERB,1
c-section,VERB,1
cafe,VERB,1
coffee_house,VERB,1
snack_bar,VERB,1
cage,VERB,1
bread_with_sugar,VERB,1
calculate-,PRON,1
calculator,VERB,1
calendar,VERB,1
camel,VERB,1
camera,VERB,1
camp,VERB,1
camper,VERB,1
caravan,VERB,1
mobile_home,VERB,1
be_able-,PRON,1
cylinder,VERB,1
canada,VERB,1
candle,VERB,1
cane,VERB,1
walking_stick,VERB,1
cannon,VERB,1
car,VERB,1
automobile,VERB,1
motor_vehicle,VERB,1
cards,VERB,1
playing_cards,VERB,1
careful,ADJ,1
carrot,VERB,1
transport-,PRON,1
carrycot,VERB,1
bassinet,VERB,1
cassette,VERB,1
audiocassette,VERB,1
videocassette,VERB,1
plaster_cast,VERB,1
cast_,VERB,1
grab-,PRON,1
caterpillar,VERB,1
cauliflower,VERB,1
cause,VERB,1
cause-,PRON,1
be_caused_by-,PRON,1
cave,VERB,1
cavity,VERB,1
caries,VERB,1
ceiling,VERB,1
cemetery,VERB,1
cent,VERB,1
century,VERB,1
certain_,ADJ,1
cervix,VERB,1
chair,VERB,1
challah,VERB,1
chameleon,VERB,1
alteration,VERB,1
conversion,VERB,1
alter,PRON,1
convert-,PRON,1
chanukah,VERB,1
hanukkah,VERB,1
charity,VERB,1
cheap_,ADJ,1
cheek,VERB,1
cheese,VERB,1
chemical_product,VERB,1
cherry,VERB,1
cherries,VERB,1
cheshvan,VERB,1
chest,VERB,1
chest_of_drawers,VERB,1
bureau,VERB,1
dresser,VERB,1
chew-,PRON,1
poultry,VERB,1
kid,PREP,1
youngster,PREP,1
child_abuse,VERB,1
chimney,VERB,1
