lemma,pos,bci_av_id
cithare,VERB,23806
citoyen,VERB,13349
citron,VERB,15190
citron vert,VERB,15211
citronnade,VERB,15191
citrouille,VERB,17244
cité du vatican,VERB,21037
clair,ADJ,12903
clairon,VERB,24810
clairon_,VERB,23825
clan,VERB,21609
clarinette basse,VERB,23810
clarinette_,VERB,23837
clarté,VERB,24878
classe,VERB,13352
classeur,VERB,23511
clavecin,VERB,23882
clavier,VERB,23555
clef,VERB,15144
clef usb,VERB,24694
cligner,PRON,18260
clinique,VERB,14899
clitoris,VERB,13362
cloche,VERB,12662
clochette,VERB,23814
clou,VERB,15689
clou de fer à cheval,VERB,24164
clown,PREP,23443
club,VERB,13369
club de fans,VERB,24446
club de supporters de football,VERB,24449
clé usb,VERB,24694
clémentine,VERB,17503
clôture,VERB,14167
coasser,PRON,24073
cochon,VERB,16175
cochon d'inde,VERB,14434
code,VERB,23134
coffre,VERB,24613
coffre de toit,VERB,24613
cogner,PRON,13439
coiffer,PRON,13379
coiffer-,PRON,13379
coiffeur,PREP,12628
coin,VERB,13414
col de l'utérus,VERB,13147
colis,VERB,15966
collation,VERB,20606
collation de 10 heures,VERB,17521
collation de 4 heures,VERB,14393
colle,VERB,14447
coller,PRON,14448
colline,VERB,14712
collision,VERB,13438
collision frontale,VERB,13435
colocataire,PREP,17237
colonie de vacances,VERB,17461
coléoptère,VERB,12655
combat,VERB,24855
combattre-,PRON,14175
combien,NOUN,14908
combinaison,VERB,13380
combiner,PRON,13381
combustible,ADJ,14195
comique,ADJ,14414
commandements,VERB,13388
commander,PRON,21335
commencement,VERB,12658
commencer,PRON,12657
comment,NOUN,14906
commerce,VERB,13093
commettre un outrage à la pudeur,PRON,24843
commissaire aux comptes,PREP,24018
commission,VERB,24484
commode,VERB,13162
communication,VERB,13390
communiquer,PRON,13389
commutateur,VERB,17487
comparer,PRON,13391
compartiment,VERB,24625
compassion,VERB,13931
complet,ADJ,24844
comportement,VERB,12659
compositeur,PREP,13393
compote,VERB,23515
comprendre,PRON,17973
compresse,VERB,12625
compte,VERB,23050
compte rendu,VERB,24696
compte-rendu,VERB,12330
compter,PRON,13422
compteur d'eau,VERB,23246
compteur de vitesse,VERB,23217
compteur kilométrique,VERB,23161
compteur électrique,VERB,23075
compétence,VERB,12322
comté,VERB,16423
comète,VERB,13384
comédie,VERB,23445
comédie musicale,VERB,23594
concepteur,PREP,23469
conception,VERB,13395
concernant,NOUN,12324
concert,VERB,23452
concierge,PREP,24683
concombre,VERB,13620
concombre de mer,VERB,23654
concourir,PRON,13392
concours,VERB,16451
condamner,PRON,23202
condensation,VERB,23839
condenser,PRON,23840
condom,VERB,13398
conducteur,PREP,24069
conduire,PRON,13883
conduite,VERB,22913
confession,VERB,23190
confiance,VERB,17785
confirmation,VERB,21110
confiture,VERB,14965
confortable,ADJ,13386
confrère,PREP,23165
confus,ADJ,13926
confusion,VERB,13928
conférence,VERB,14427
congélateur,VERB,23514
conjoint,PREP,17237
connaissance,VERB,15162
connecter,PRON,13381
connecteur,VERB,24628
connexion,VERB,13380
connexion sans fil,VERB,24782
consacrer,PRON,21084
consacré à,ADJ,24082
conscience,VERB,13401
conseil,VERB,12345
conseil d'administration,VERB,24611
conseil juridique,PREP,23139
conseiller,PRON,12346
conserver,PRON,15143
considérer,PRON,22374
consignes,VERB,14946
console de jeux,VERB,24659
consoler,PRON,13385
constellation,VERB,22633
constellation du taureau,VERB,22639
constipation_,VERB,24070
